1,anatiteche,mare,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris mattis lacinia quam, nec convallis lectus rutrum ut. Mauris sodales commodo congue. Morbi ac orci pulvinar, blandit dolor in, viverra nulla. Mauris ullamcorper consectetur viverra. Donec dapibus venenatis sem pulvinar tempor. Mauris tristique et ante a tempus. Sed feugiat et diam vitae feugiat. Nulla id ultricies nibh. In eget malesuada orci, at mollis sapien.",,,,1
2,pearmypie,munte,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris mattis lacinia quam, nec convallis lectus rutrum ut. Mauris sodales commodo congue. Morbi ac orci pulvinar, blandit dolor in, viverra nulla. Mauris ullamcorper consectetur viverra. Donec dapibus venenatis sem pulvinar tempor. Mauris tristique et ante a tempus. Sed feugiat et diam vitae feugiat. Nulla id ultricies nibh. In eget malesuada orci, at mollis sapien.",,,,2
3,anatiteche,mare,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris mattis lacinia quam, nec convallis lectus rutrum ut. Mauris sodales commodo congue. Morbi ac orci pulvinar, blandit dolor in, viverra nulla. Mauris ullamcorper consectetur viverra. Donec dapibus venenatis sem pulvinar tempor. Mauris tristique et ante a tempus. Sed feugiat et diam vitae feugiat. Nulla id ultricies nibh. In eget malesuada orci, at mollis sapien.",,,,3
4,anatiteche,balnear,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris mattis lacinia quam, nec convallis lectus rutrum ut. Mauris sodales commodo congue. Morbi ac orci pulvinar, blandit dolor in, viverra nulla. Mauris ullamcorper consectetur viverra. Donec dapibus venenatis sem pulvinar tempor. Mauris tristique et ante a tempus. Sed feugiat et diam vitae feugiat. Nulla id ultricies nibh. In eget malesuada orci, at mollis sapien.",,,,4
8,,,A fost foarte frumos!,,,,4
10,anatiteche,mare,A fost foarte frumos!,,,,1
11,anatiteche,mare,"A fost foarte, foarte cald!",,,,1
12,anatiteche,mare,Test,,,,1
13,anatiteche,mare,A fost foarte galagios!,,,,1
14,anatiteche,mare,A fost foarte linistit.,,,,1
15,anatiteche,mare,Test,,,,1
16,util3,munte,A nins foarte foarte mult,,,,2
